v1,v2
spam,You have won $1000! Claim your prize now.
safe,Are we still meeting at 5 PM?
spam,Get cheap loans now! Limited time offer.
safe,Don't forget to bring the documents.
spam,Win a free vacation to the Bahamas! Click here.
safe,Can you send me the report by tomorrow?
spam,Your account has been compromised. Click here to secure it.
safe,Let's catch up for lunch this weekend.
spam,Congratulations! You've been selected for a free gift card.
safe,Please review the attached file and let me know your thoughts.
spam,Act now to claim your exclusive discount on our products.
safe,I'll call you later to discuss the details.
spam,This is your last chance to win a free iPhone. Click now!
safe,The meeting has been rescheduled to 3 PM tomorrow.
spam,You are pre-approved for a $5000 loan. Apply today!
safe,Can you confirm your availability for the meeting?
spam,Exclusive offer! Buy one get one free. Limited time only.
safe,Thanks for your help with the project.
spam,Your subscription is about to expire. Renew now to avoid interruption.
safe,I'll send you the updated document shortly.
spam,Claim your free trial for our premium service today.
safe,Let me know if you have any questions about the proposal.
spam,You have been selected for a free membership. Click here to activate.
safe,Please find the attached invoice for your reference.
spam,Win big prizes by entering our sweepstakes. Don't miss out!
safe,I'll be out of the office tomorrow but reachable via email.
spam,Your credit score has increased. Check your new score now.
safe,Can we reschedule our call to next week?
spam,Get a free consultation with our experts. Sign up today.
safe,Looking forward to our meeting next week.
spam,Your package is delayed. Click here to track it.
safe,Thanks for the quick response. I appreciate it.
spam,You are eligible for a special discount. Claim it now.
safe,I'll review the document and get back to you.
spam,Your account is at risk. Verify your details immediately.
safe,Can you share the presentation slides with me?
spam,Get unlimited access to our premium features. Subscribe now.
safe,I'll let you know once I have more information.
spam,Your payment was declined. Update your payment method now.
safe,Thanks for the update. I'll follow up with the team.
spam,Win a free gift card by completing this short survey.
safe,Please let me know if you need any additional details.
spam,Your device is infected. Click here to remove the virus.
safe,I'll be traveling next week but available via email.
spam,Your loan application has been approved. Apply now.
safe,Can you send me the meeting agenda?
spam,Act now to secure your spot in our exclusive program.
safe,Thanks for your feedback on the draft.
spam,Your account has been locked. Reset your password now.
safe,I'll check with the team and get back to you.
spam,Get free shipping on your next order. Shop now.
safe,Looking forward to hearing from you soon.
spam,Your warranty is about to expire. Renew it today.
safe,Please let me know your availability for the call.
spam,You have been selected for a free trial. Activate it now.
safe,Thanks for your patience while we resolve the issue.
spam,Your account has unusual activity. Verify it now.
safe,I'll send you the final version by the end of the day.
spam,Win a free vacation by entering our contest. Click here.
safe,Can you provide an update on the project status?
spam,Your invoice is overdue. Pay now to avoid penalties.
safe,Thanks for the reminder. I'll take care of it.
spam,Your email storage is almost full. Upgrade now.
safe,I'll be in touch once I have more details.
spam,Your account has been suspended. Reactivate it now.
safe,Please let me know if you need any assistance.
spam,Your order has been shipped. Track it here.
safe,Thanks for your cooperation on this matter.
spam,Your subscription has been canceled. Renew now to continue.
safe,I'll follow up with you next week.
spam,Your account is eligible for a free upgrade. Claim it now.
safe,Can you confirm receipt of the document?
spam,Your payment is due. Pay now to avoid late fees.
safe,Thanks for your input on the report.
spam,Your account has been flagged for suspicious activity. Verify now.
safe,I'll let you know once the task is completed.
spam,Your account balance is low. Add funds now.
safe,Please let me know if you have any concerns.
spam,Your account has been compromised. Secure it now.
safe,I'll send you the details shortly.
spam,Your account is eligible for a cashback offer. Claim it now.
safe,Thanks for your support on this project.
spam,Your account has been deactivated. Reactivate it now.
